run,framework,server_ready_ms,end_to_end_startup_ms,latency_avg_ms,latency_p95_ms,throughput_bytes_per_sec
run_000,rest,2.075000,1416.173000,37.169300,41.666200,416.000000
run_000,websocket,2.762000,1015.261000,0.045994,0.063231,729728.000000
run_000,webrtc,9.558000,1066.822000,1.147380,1.430070,51248.000000
run_001,rest,2.311000,1415.341000,37.132900,41.768800,416.000000
run_001,websocket,4.233000,1016.753000,0.073910,0.150615,518496.000000
run_001,webrtc,8.032000,1069.839000,1.178130,1.385970,56864.000000
